"word","n"
"payments",4
"peace",4
"personnel",4
"perspective",4
"philippines",4
"pie",4
"plain",4
"plunge",4
"pockets",4
"portable",4
"position",4
"postponed",4
"potentially",4
"powerful",4
"prayers",4
"prepping",4
"prevention",4
"proactive",4
"proceeds",4
"profits",4
"program",4
"proper",4
"protected",4
"protections",4
"protective",4
"proves",4
"provided",4
"psychology",4
"pump",4
"qampa",4
"qanon",4
"raised",4
"rationed",4
"reacting",4
"reasonable",4
"region",4
"relax",4
"released",4
"remains",4
"reps",4
"rescue",4
"reveal",4
"rip",4
"rose",4
"round",4
"rules",4
"rumors",4
"rushing",4
"sadly",4
"safely",4
"safer",4
"saturdaythoughts",4
"scares",4
"scramble",4
"sectors",4
"senators",4
"served",4
"serving",4
"shaming",4
"shopper",4
"shutdowns",4
"sickness",4
"significant",4
"sir",4
"skyrocket",4
"snow",4
"soda",4
"sources",4
"spaces",4
"spoke",4
"spoken",4
"spotted",4
"spree",4
"square",4
"st",4
"stage",4
"stays",4
"steps",4
"stockmarketcrash2020",4
"storm",4
"strategy",4
"stressful",4
"stuffs",4
"suddenly",4
"supplied",4
"supporters",4
"surely",4
"survived",4
"surviving",4
"suspend",4
"sweep",4
"takeout",4
"taxi",4
"tells",4
"temporary",4
"theyll",4
"tins",4
"tired",4
"toiletries",4
"tomato",4
"tons",4
"traderjoes",4
"traditional",4
"training",4
"transmission",4
"transportation",4
"traveling",4
"trending",4
"trumpvirus",4
"trusted",4
"tuesday",4
"tweets",4
"typically",4
"uber",4
"unreal",4
"urges",4
"va",4
"vacation",4
"valley",4
"veggies",4
"vendor",4
"view",4
"vital",4
"volunteers",4
"wages",4
"warehouses",4
"watched",4
"web",4
"webinar",4
"wellness",4
"wfh",4
"whilst",4
"wholesale",4
"win",4
"windows",4
"woke",4
"won",4
"workforce",4
"write",4
"wuhancoronavirus",4
"yell",4
"yikes",4
"youd",4
"youll",4
"zinc",4
"000",3
"1000x",3
"10x",3
"11am",3
"120",3
"18",3
"1m",3
"2019",3
"20th",3
"21",3
"224",3
"247",3
"24hrs",3
"2nd",3
"3000",3
"31",3
"3121",3
"350",3
"36",3
"37",3
"3x",3
"400",3
"48",3
"4pm",3
"5pm",3
"6pm",3
"75",3
"abroad",3
"abyss",3
"accounts",3
"actions",3
"active",3
"adapt",3
"addressing",3
"admit",3
"ads",3
"adult",3
"adventures",3
"advertising",3
"advised",3
"advises",3
"agenda",3
"allowing",3
"amazon's",3
"animalcrossing",3
"apologize",3
"appealed",3
"appears",3
"apples",3
"apply",3
"apps",3
"armageddon",3
"army",3
"asset",3
"assured",3
"ate",3
"attacking",3
"attacks",3
"attend",3
"attitude",3
"australian",3
"awhile",3
"baked",3
"baker",3
"balm",3
"banned",3
"barrel",3
"barren",3
"basics",3
"basket",3
"baskets",3
"battles",3
"bcit",3
"bean",3
"bear",3
"beauty",3
"beprepared",3
"bernie",3
"bidets",3
"bike",3
"bin",3
"bins",3
"bites",3
"bjs",3
"blame",3
"blocks",3
"bob",3
"bookstores",3
"booming",3
"boris",3
"boy",3
"boycotted",3
"bracing",3
"brain",3
"breakfast",3
"breakingnews",3
"breath",3
"brickandmortar",3
"bricks",3
"bright",3
"brim",3
"brown",3
"brussels",3
"bs",3
"bu",3
"bubble",3
"buildings",3
"built",3
"bum",3
"bunker",3
"burden",3
"busier",3
"butt",3
"button",3
"butts",3
"buyer",3
"campaign",3
"camps",3
"canceling",3
"cancer",3
"capitalist",3
"carex",3
"carrier",3
"cautious",3
"cbp",3
"cdnpoli",3
"ceos",3
"channel",3
"channels",3
"cheaper",3
"chemist",3
"china's",3
"chinavirus",3
"chips",3
"choosing",3
"chowmin",3
"church",3
"citizen",3
"claim",3
"claiming",3
"cleaner",3
"clever",3
"clock",3
"closings",3
"collapsing",3
"colleagues",3
"collections",3
"collectively",3
"comment",3
"comments",3
"commercial",3
"communism",3
"competition",3
"concise",3
"confident",3
"conspiracy",3
"constant",3
"constraints",3
"consume",3
"consumerfacing",3
"contacted",3
"contagious",3
"contaminated",3
"content",3
"continued",3
"contract",3
"contribute",3
"controlled",3
"convenient",3
"cooked",3
"cookies",3
"cornoravirusuk",3
"coronainkenya",3
"coronarvirusitalia",3
"coronaviru",3
"coronavirusespana",3
"coronavirusitaly",3
"coronavirusmichigan",3
"coronovirus",3
"corp",3
"corporate",3
"coupon",3
"courtesy",3
"cpg",3
"crackers",3
"creates",3
"crush",3
"cup",3
"cupboard",3
"curve",3
"dairy",3
"damaging",3
"dead",3
"declaration",3
"decreasing",3
"demands",3
"denial",3
"departments",3
"depleted",3
"desk",3
"desperate",3
"destinations",3
"destructive",3
"detergent",3
"dettol",3
"develop",3
"developments",3
"device",3
"diabetes",3
"diarrhea",3
"diego",3
"digitalmarketing",3
"dining",3
"directives",3
"disappear",3
"disappearing",3
"discover",3
"discovered",3
"discussion",3
"disgraceful",3
"disinfecting",3
"disney",3
"division",3
"dollars",3
"doordash",3
"doubled",3
"dramatically",3
"drastically",3
"drinks",3
"dude",3
"dumb",3
"dump",3
"duterte",3
"dystopian",3
"earned",3
"easier",3
"eaten",3
"economics",3
"educational",3
"effecting",3
"emerging",3
"employers",3
"encounter",3
"encouraged",3
"engine",3
"entertainment",3
"entrance",3
"eos",3
"equal",3
"er",3
"era",3
"errands",3
"esp",3
"estimates",3
"everyone's",3
"excellent",3
"exhausted",3
"exotic",3
"expand",3
"expectations",3
"expire",3
"expired",3
"explaining",3
"explode",3
"exposing",3
"facilities",3
"fair",3
"false",3
"fan",3
"fans",3
"farmers",3
"fatter",3
"feb",3
"feeding",3
"feet",3
"festival",3
"fewer",3
"field",3
"file",3
"filling",3
"fire",3
"flexibility",3
"floor",3
"fml",3
"foot",3
"forecast",3
"foreign",3
"forgetting",3
"forms",3
"fortunately",3
"fracking",3
"fraud",3
"freak",3
"freezing",3
"friday13th",3
"fridaymotivation",3
"fried",3
"frustrated",3
"fuckin",3
"fulfillment",3
"fundraiser",3
"fur",3
"fx",3
"gallon",3
"gaming",3
"gaps",3
"gasoline",3
"george",3
"germ",3
"giants",3
"gig",3
"girl",3
"gov't",3
"governor",3
"grateful",3
"greatly",3
"grip",3
"grocerystore",3
"grocerystores",3
"grown",3
"guide",3
"gulf",3
"guns",3
"ha",3
"hamsterkauf",3
"hamsterkäufe",3
"handgel",3
"handles",3
"harder",3
"hazard",3
"headline",3
"headlines",3
"heaven",3
"heck",3
"heightened",3
"helps",3
"heros",3
"hes",3
"highdemand",3
"highlights",3
"hikes",3
"hobby",3
"hole",3
"holidays",3
"hotels",3
"houston",3
"hrs",3
"hug",3
"humor",3
"hunting",3
"hypermarket",3
"ignore",3
"incl",3
"incomes",3
"incredible",3
"indefinitely",3
"indirectly",3
"individuals",3
"industrial",3
"initiatives",3
"insider",3
"instant",3
"intense",3
"internationally",3
"invite",3
"ironic",3
"isles",3
"isn",3
"isopropyl",3
"italia",3
"italian",3
"italylockdown",3
"jacked",3
"james",3
"jerky",3
"juice",3
"keepcalmandwashyourhands",3
"kenya",3
"killed",3
"kindness",3
"kingdom",3
"kings",3
"kleenex",3
"knowing",3
"kosovo",3
"labor",3
"labour",3
"largest",3
"las",3
"laws",3
"lazy",3
"leaders",3
"leads",3
"league",3
"lebanon",3
"leeds",3
"legend",3
"lie",3
"likes",3
"lining",3
"links",3
"liquidity",3
"lists",3
"lka",3
"lmao",3
"lng",3
"loan",3
"logistics",3
"lonely",3
"loose",3
"looting",3
"loves",3
"lowers",3
"lowest",3
"lush",3
"majeure",3
"managed",3
"managing",3
"manchurian",3
"mandatory",3
"maniacs",3
"marketers",3
"marketing",3
"mart",3
"mary",3
"masses",3
"master",3
"matches",3
"matt",3
"max",3
"mayor",3
"meaning",3
"meats",3
"meijer",3
"mentality",3
"met",3
"metal",3
"mga",3
"milan",3
"milano",3
"mild",3
"miles",3
"millennials",3
"minute",3
"miss",3
"missed",3
"mission",3
"moms",3
"monitoring",3
"monopoly",3
"monthly",3
"moon",3
"morrisons",3
"mortgage",3
"movies",3
"mum",3
"mumbai",3
"mushroom",3
"muslim",3
"mutton",3
"nations",3
"needy",3
"negative",3
"neighbourhood",3
"ng",3
"nofood",3
"nose",3
"nursing",3
"nutritious",3
"obscene",3
"officer",3
"official",3
"ondemand",3
"onlineshop",3
"ontarians",3
"opec",3
"operate",3
"ordinary",3
"outbreaks",3
"outlook",3
"outrages",3
"overflowing",3
"overshadowed",3
"overtime",3
"overwhelming",3
"owner",3
"pa",3
"packet",3
"packets",3
"page",3
"pandemics",3
"panicbought",3
"panick",3
"pantries",3
"paracetamol",3
"parcels",3
"pathogens",3
"payroll",3
"pei",3
"percent",3
"perfectly",3
"permanently",3
"permission",3
"pissed",3
"plague",3
"planned",3
"plantbased",3
"plastic",3
"plunging",3
"poison",3
"poland",3
"political",3
"poll",3
"pool",3
"popped",3
"portstewart",3
"postapocalyptic",3
"postpone",3
"postponing",3
"powder",3
"practical",3
"praying",3
"precautionary",3
"predicted",3
"pretending",3
"prevails",3
"pricks",3
"processed",3
"prof",3
"professionals",3
"programs",3
"proof",3
"propaganda",3
"properly",3
"property",3
"prove",3
"proven",3
"ps",3
"publichealth",3
"pubs",3
"pushed",3
"qatar",3
"quarantinelife",3
"quarantines",3
"quiet",3
"racism",3
"racist",3
"raid",3
"raising",3
"ramen",3
"ramps",3
"ransacked",3
"rapid",3
"rational",3
"reaching",3
"realised",3
"realized",3
"realme",3
"rebook",3
"recognize",3
"recommendations",3
"recommended",3
"recommends",3
"records",3
"recovered",3
"recycled",3
"red",3
"refugees",3
"refunds",3
"registers",3
"relevant",3
"reliable",3
"reliant",3
"relieved",3
"rental",3
"reply",3
"request",3
"require",3
"resell",3
"resellers",3
"resource",3
"responsibly",3
"restocking",3
"restricted",3
"results",3
"returning",3
"returns",3
"reverse",3
"revolution",3
"rides",3
"rightly",3
"ring",3
"rises",3
"risks",3
"road",3
"romania",3
"roof",3
"ruling",3
"rumor",3
"safest",3
"sainsbury",3
"samples",3
"sams",3
"sanctions",3
"sanitary",3
"sanitisers",3
"saving",3
"savings",3
"sayin",3
"scan",3
"scandalous",3
"scarce",3
"scarcity",3
"scheduled",3
"science",3
"screaming",3
"screening",3
"searching",3
"seats",3
"secret",3
"seemingly",3
"selfemployed",3
"selfisolate",3
"sending",3
"sentiment",3
"sessions",3
"setting",3
"sf",3
"sfu",3
"shake",3
"sharing",3
"sharply",3
"shelfs",3
"shelters",3
"shifted",3
"ship",3
"shipments",3
"shite",3
"shitty",3
"shocking",3
"shocks",3
"shoppersdrugmart",3
"shoprite",3
"shuts",3
"sight",3
"signing",3
"simply",3
"simultaneously",3
"site",3
"skyrocketing",3
"slot",3
"slowing",3
"smile",3
"smooth",3
"socialdistance",3
"socialized",3
"socks",3
"soldout",3
"solely",3
"son",3
"southern",3
"specialty",3
"species",3
"specifically",3
"speech",3
"sport",3
"sri",3
"srilanka",3
"stages",3
"stampede",3
"stamps",3
"staples",3
"starvation",3
"stated",3
"stations",3
"stats",3
"straight",3
"strange",3
"stream",3
"stretched",3
"strictly",3
"strongly",3
"struggle",3
"stupidity",3
"style",3
"successfully",3
"sucks",3
"suggest",3
"summer",3
"superstore",3
"suppliers",3
"supplychain",3
"surged",3
"surging",3
"surprised",3
"survey",3
"suspect",3
"suspected",3
"suspension",3
"sweet",3
"switch",3
"tags",3
"taught",3
"tea",3
"teachers",3
"teams",3
"tension",3
"territory",3
"thailand",3
"thankful",3
"thankyou",3
"therapy",3
"theyve",3
"thrown",3
"thursdaymotivation",3
"timing",3
"tirelessly",3
"todays",3
"toothpaste",3
"tours",3
"track",3
"transaction",3
"trash",3
"travellers",3
"truck",3
"trucker",3
"trumpdemic",3
"trumpplague",3
"trumptheworstpresidentever",3
"tune",3
"tweeting",3
"typical",3
"ubc",3
"ugh",3
"um",3
"underway",3
"unexpectedly",3
"unhealthy",3
"universal",3
"unknown",3
"unlimited",3
"upper",3
"ups",3
"urban",3
"urbanoutfitters",3
"useless",3
"uvic",3
"vancouver",3
"venturing",3
"videos",3
"village",3
"virtual",3
"vitamin",3
"vodka",3
"volume",3
"vote",3
"warnings",3
"warns",3
"washington",3
"wazwan",3
"wcovid19",3
"weak",3
"wealth",3
"wednesday",3
"weed",3
"welfare",3
"welp",3
"white",3
"widespread",3
"window",3
"workplace",3
"world's",3
"worries",3
"wrap",3
"wrapped",3
"wrapping",3
"wrestlers",3
"writes",3
"xrp",3
"yelling",3
"yorkers",3
"youtube",3
"zombies",3
"01",2
"100s",2
"10pm",2
"110",2
"114",2
"12hr",2
"130",2
"14th",2
"16th",2
"1991",2
"2000",2
"2018",2
"20x",2
"21st",2
"22",2
"26",2
"29",2
"333ml",2
"378",2
"3ply",2
"4000",2
"40ft",2
"430",2
"4th",2
"52",2
"55",2
"56",2
"57",2
"59",2
"5m",2
"6000",2
"630",2
"700",2
"710",2
"72",2
"7pm",2
"8000",2
"804",2
"90s",2
"95",2
"aapl",2
"abandon",2
"abt",2
"abuse",2
"accidentally",2
"accommodation",2
"accurate",2
"achieve",2
"actors",2
"acts",2
"ada",2
"adjust",2
"adjusted",2
"adobe",2
"advising",2
"advisory",2
"affects",2
"afloat",2
"african",2
"africans",2
"africas",2
"agencies",2
"agents",2
"agreed",2
"aim",2
"airports",2
"alcohols",2
"alleviating",2
"alliance",2
"allies",2
"alongside",2
"alternate",2
"amazingly",2
"ammunition",2
"amphave",2
"analogy",2
"analytics",2
"announce",2
"announces",2
"anticipate",2
"anytime",2
"apocalypse2020",2
"apparent",2
"arena",2
"arguing",2
"argument",2
"arrive",2
"arses",2
"articles",2
"asos",2
"assets",2
"assist",2
"assistant",2
"assistants",2
"assitory",2
"athens",2
"atleast",2
"atmosphere",2
"atrisk",2
"attack",2
"attempting",2
"attending",2
"audacity",2
"audience",2
"aupol",2
"aussie",2
"australians",2
"authority",2
"automotive",2
"avail",2
"availabilty",2
"average",2
"b1",2
"bacon",2
"badly",2
"baggers",2
"bail",2
"bailout",2
"bakarainvest",2
"bake",2
"bakery",2
"bandaid",2
"banning",2
"bans",2
"banter",2
"barcelona",2
"bargains",2
"barrie",2
"barriers",2
"bastards",2
"bathing",2
"bayarea",2
"bbcqt",2
"bch",2
"becoz",2
"beers",2
"begets",2
"begins",2
"behaving",2
"beirut",2
"bekindalways",2
"bel",2
"belgian",2
"belgiumlockdown",2
"believes",2
"beresponsible",2
"bernie's",2
"bernie2020",2
"bethel",2
"beverages",2
"beware",2
"biden",2
"biden's",2
"bigger",2
"bioweapon",2
"biscuits",2
"bitches",2
"blackpink",2
"blames",2
"blank",2
"blasts",2
"blessed",2
"blessings",2
"blockade",2
"bloody",2
"blows",2
"blvd",2
"boat",2
"bogroll",2
"bombed",2
"bookstore",2
"booze",2
"borders",2
"boss",2
"bout",2
"bowel",2
"boxed",2
"brace",2
"brantford",2
"brave",2
"bravo",2
"breaks",2
"brilliant",2
"bro",2
"broadway",2
"broken",2
"btw",2
"build",2
"burdens",2
"burn",2
"burning",2
"burrito",2
"burritos",2
"busiest",2
"cabin",2
"cabinet",2
"cake",2
"calgary",2
"calmdown",2
"calming",2
"calpol",2
"camp",2
"campus",2
"canadas",2
"canceleverythingnow",2
"canton",2
"canucks",2
"capable",2
"capacity",2
"carbon",2
"careful",2
"carefully",2
"cars",2
"cashless",2
"catholic",2
"cats",2
"catsoftwitter",2
"caturday",2
"cd",2
"cease",2
"celebrity",2
"cents",2
"century",2
"certificates",2
"challenging",2
"championships",2
"chances",2
"chaotic",2
"charges",2
"charities",2
"chart",2
"checking",2
"chemistry",2
"childhood",2
"chillout",2
"chopped",2
"christ",2
"chronicillness",2
"churches",2
"circulated",2
"citing",2
"claims",2
"classy",2
"cliff",2
"climatechange",2
"clip",2
"closely",2
"cloud",2
"clubs",2
"cmon",2
"cobrameeting",2
"collapsed",2
"collins",2
"colorado",2
"combating",2
"comfortable",2
"commentary",2
"commit",2
"commute",2
"comparing",2
"compelled",2
"competitive",2
"complaining",2
"complaints",2
"compliment",2
"compromised",2
"computers",2
"con",2
"conferences",2
"conferencing",2
"confinement",2
"confirms",2
"confusion",2
"congregate",2
"cons",2
"conscience",2
"consequences",2
"conservative",2
"consumerfriendly",2
"consumerinsights",2
"container",2
"containers",2
"convince",2
"convinced",2
"coo",2
"cooking",2
"cool",2
"coolers",2
"cop",2
"cor",2
"coranavirusitalia",2
"cord",2
"core",2
"cornholio",2
"coronaapocalypse",2
"coronacrazy",2
"coronadeutschland",2
"coronainfoch",2
"coronasverige",2
"coronavid19",2
"coronavirusau",2
"coronavirusaus",2
"coronavirusbe",2
"coronavirusfrance",2
"coronavirusinsa",2
"coronaviruskenya",2
"coronavirusnederland",2
"coronavirussouthafrica",2
"correct",2
"corvid19",2
"costcopanicbuying",2
"cottage",2
"could've",2
"couldnt",2
"counters",2
"counties",2
"counting",2
"countrys",2
"courier",2
"courses",2
"cov",2
"covered",2
"covid19be",2
"covid19deutschland",2
"covid19india",2
"covid19italy",2
"covid19kindness",2
"covid19seattle",2
"covid19usa",2
"covidcanada",2
"coworkers",2
"craigslist",2
"crawling",2
"crazies",2
"craziest",2
"crime",2
"criminal",2
"crucial",2
"crying",2
"cryptomarket",2
"cud",2
"cunts",2
"customs",2
"cv",2
"cv19",2
"cv19pledge",2
"da",2
"dang",2
"dangers",2
"dare",2
"dark",2
"dash",2
"dates",2
"daughter",2
"david",2
"daycare",2
"decade",2
"deciding",2
"declare",2
"declined",2
"declining",2
"decor",2
"decrease",2
"defeat",2
"deficit",2
"delay",2
"delaying",2
"delivering",2
"delivers",2
"deliverypickup",2
"democrats2020",2
"demolition",2
"dems",2
"densely",2
"depend",2
"depresses",2
"dept",2
"desert",2
"deserves",2
"desi",2
"designated",2
"designed",2
"desirable",2
"despicable",2
"developed",2
"developing",2
"diagnostic",2
"diary",2
"dickheads",2
"dies",2
"dietary",2
"dinein",2
"dip",2
"dips",2
"directed",2
"disadvantaged",2
"disappointed",2
"discusses",2
"disgrace",2
"disguise",2
"disposable",2
"disputes",2
"disrupt",2
"disrupting",2
"disruptions",2
"distributed",2
"diversify",2
"diy",2
"djs",2
"doc",2
"doctor's",2
"document",2
"documentary",2
"dominate",2
"dominated",2
"don'ts",2
"donnie",2
"dontpanic",2
"doo",2
"dooms",2
"doomsdaypreppers",2
"doritos",2
"download",2
"downside",2
"downtown",2
"dozen",2
"dozens",2
"dragging",2
"dream",2
"drives",2
"drivethru",2
"dropoff",2
"drops",2
"drugstore",2
"dumbest",2
"dumping",2
"dunnes",2
"durables",2
"dutch",2
"dvod",2
"dystopia",2
"earliest",2
"easyjet",2
"ebooks",2
"echo",2
"economist",2
"edinburgh",2
"edition",2
"effected",2
"efficiently",2
"egg",2
"el",2
"elections",2
"elgin",2
"elimination",2
"else's",2
"empathetic",2
"employing",2
"employment",2
"endanger",2
"endtimes",2
"enduring",2
"enemy",2
"enforce",2
"enforcement",2
"english",2
"entered",2
"ep",2
"episode",2
"equip",2
"equity",2
"es",2
"escape",2
"established",2
"ethical",2
"etobicoke",2
"etsy",2
"european",2
"eurostar",2
"everyones",2
"eviction",2
"evolve",2
"examples",2
"exceptionally",2
"excess",2
"exchanges",2
"excuse",2
"executives",2
"exhibit",2
"exist",2
"exo",2
"experienced",2
"experiences",2
"exploit",2
"exporting",2
"extend",2
"extending",2
"extract",2
"eyeballs",2
"eyes",2
"faced",2
"facility",2
"factor",2
"factors",2
"faculty",2
"faith",2
"fakenews",2
"falls",2
"fam",2
"familiar",2
"famine",2
"faq",2
"farm",2
"farmer",2
"farms",2
"fascinating",2
"father",2
"faucet",2
"fave",2
"favour",2
"fba",2
"fearful",2
"feasible",2
"features",2
"federalreserve",2
"feedback",2
"fell",2
"feminist",2
"fields",2
"figured",2
"filed",2
"filipinos",2
"fills",2
"final",2
"financials",2
"fines",2
"fingers",2
"finna",2
"firefighter",2
"flagging",2
"flagship",2
"flashbacks",2
"flatten",2
"fleeing",2
"flocked",2
"flooded",2
"florida",2
"fluctuations",2
"flux",2
"foodbankfriday",2
"foodiefunfair",2
"foodies",2
"foodservice",2
"foodstuffs",2
"fool",2
"for1meal",2
"forecasts",2
"forex",2
"fot",2
"fourth",2
"franchises",2
"francisco",2
"frankly",2
"fred",2
"freedom",2
"frenzied",2
"fridayvibes",2
"friend's",2
"fries",2
"frightened",2
"fruits",2
"frustrating",2
"fuckeverybodyelse",2
"fucks",2
"fueling",2
"fullon",2
"funerals",2
"furloughed",2
"furry",2
"gathered",2
"gatorade",2
"gauging",2
"gaza",2
"gdi",2
"gee",2
"gels",2
"gem",2
"gen",2
"generals",2
"generated",2
"geneva",2
"gentlemen",2
"germophobe",2
"ghana",2
"ghost",2
"girlfriend",2
"girls",2
"glb",2
"gluten",2
"google",2
"govaka",2
"governed",2
"gp",2
"grabbing",2
"grad",2
"gran",2
"grandkids",2
"grandmas",2
"grandparents",2
"grant",2
"granted",2
"grapes",2
"grave",2
"greece",2
"greek",2
"greennewdeal",2
"greet",2
"greeted",2
"grim",2
"groceryshopping",2
"grounds",2
"growler",2
"guaranteed",2
"guards",2
"guinness",2
"habit",2
"habra",2
"hahaha",2
"halal",2
"halted",2
"hamburger",2
"hamilton",2
"hammer",2
"hamsterkaeufe",2
"handed",2
"handedly",2
"handsanitizers",2
"handwashing",2
"handy",2
"happened",2
"hardest",2
"hardware",2
"harmful",2
"hashtag",2
"havens",2
"havoc",2
"healthworkers",2
"heels",2
"helpless",2
"herd",2
"heroes",2
"hierarchy",2
"highrisk",2
"hiked",2
"histeria",2
"historic",2
"hiv",2
"hmm",2
"holds",2
"hollywood",2
"holy",2
"homeoffice",2
"honest",2
"hooray",2
"hopkins",2
"host",2
"hostage",2
"hotspots",2
"hourly",2
"ht",2
"hubby",2
"hugely",2
"hunkerdown",2
"hunter",2
"hygienic",2
"hyping",2
"hysterical",2
"iag",2
"ibuprofen",2
"ide",2
"idk",2
"ifwhen",2
"ignorance",2
"ignorant",2
"illegally",2
"imma",2
"immensely",2
"immunecompromised",2
"implemented",2
"implementing",2
"imploding",2
"imposed",2
"impossible",2
"impressed",2
"inability",2
"inbox",2
"incase",2
"inches",2
"inconvenience",2
"incredibly",2
"index",2
"individual",2
"inevitable",2
"infecting",2
"inflation",2
"influencers",2
"influx",2
"informing",2
"insensitive",2
"insight",2
"inspection",2
"inspired",2
"instacart",2
"instances",2
"instantly",2
"instill",2
"institutional",2
"institutions",2
"instructions",2
"insured",2
"interact",2
"interaction",2
"interactions",2
"intern",2
"interrupt",2
"introverts",2
"investing",2
"involving",2
"irelandlockdown",2
"irrational",2
"irrationally",2
"irrelevant",2
"isolations",2
"israeli",2
"itscoronatime",2
"itv",2
"iu",2
"jack",2
"jacking",2
"jars",2
"jersey",2
"ji",2
"joe",2
"joes",2
"jogging",2
"johns",2
"joined",2
"joining",2
"journal",2
"journalist",2
"july",2
"jumped",2
"jumps",2
"kag",2
"karma",2
"kathal",2
"katie",2
"katrina",2
"kayak",2
"kayo",2
"ke",2
"keepcalmandcarryon",2
"keys",2
"ki",2
"kigali",2
"kills",2
"kindly",2
"kitchens",2
"ko",2
"koo",2
"korona",2
"koronavirus",2
"koronavirusfi",2
"kudos",2
"kuwait",2
"lab",2
"labeled",2
"lads",2
"laid",2
"lame",2
"landing",2
"lanes",2
"lang",2
"lankans",2
"larger",2
"lasting",2
"lasvegas",2
"laughed",2
"launch",2
"lax",2
"learned",2
"learnt",2
"leedslive",2
"legged",2
"lemons",2
"lens",2
"lessen",2
"lesson",2
"lessons",2
"leverage",2
"librarian",2
"licking",2
"lied",2
"lifestyle",2
"lightly",2
"lined",2
"listened",2
"littlethings",2
"lived",2
"lmk",2
"loaves",2
"loblaws",2
"locust",2
"locusts",2
"logistical",2
"lonavala",2
"loneliness",2
"losses",2
"lotions",2
"lowered",2
"lozenges",2
"lpsc",2
"lunches",2
"lungs",2
"ma",2
"machines",2
"madison",2
"madrid",2
"mag",2
"maine",2
"maintaining",2
"majestic",2
"makeup",2
"malaria",2
"malign",2
"managers",2
"manufacture",2
"manufactured",2
"map",2
"maralagovirus",2
"mark",2
"marked",2
"marketcrash",2
"martial",2
"maryland",2
"marylanders",2
"massachusetts",2
"masse",2
"masshysteria",2
"mayhem",2
"mayonnaise",2
"meaningful",2
"meant",2
"medal",2
"media's",2
"medicare4all",2
"medium",2
"meetings",2
"meetups",2
"memo",2
"memory",2
"mental",2
"merch",2
"messed",2
"meters",2
"metrics",2
"mexican",2
"mexico",2
"meyer",2
"michael",2
"military",2
"min",2
"mine",2
"minimise",2
"mins",2
"miscellaneous",2
"misrepresentation",2
"mississauga",2
"mitigate",2
"mkt",2
"mn",2
"mobile",2
"modern",2
"mommy",2
"monica",2
"montgomerycounty",2
"month's",2
"mood",2
"mortality",2
"mothers",2
"mouth",2
"movements",2
"moves",2
"mp",2
"ms",2
"msnbc",2
"mths",2
"multinationals",2
"muslims",2
"mutual",2
"nah",2
"named",2
"napkins",2
"navigating",2
"nc",2
"ne",2
"needlessly",2
"neighbour",2
"není",2
"netelixir",2
"network",2
"newly",2
"newspapers",2
"newspicks",2
"nhl",2
"nhs",2
"niantic",2
"nicely",2
"ninja",2
"nl",2
"nonexistent",2
"noodle",2
"normalcy",2
"northgate",2
"norwegians",2
"notes",2
"noticing",2
"novascotia",2
"november",2
"nwo",2
"obligatory",2
"ocado",2
"occur",2
"officers",2
"offset",2
"oilprice",2
"okra",2
"onions",2
"onset",2
"onsite",2
"ontario's",2
"ooo",2
"oops",2
"openings",2
"opportunists",2
"opportunities",2
"optics",2
"optimistic",2
"oregon",2
"organize",2
"originated",2
"outdoor",2
"outdoors",2
"outfit",2
"outfitters",2
"outta",2
"overbuy",2
"overbuying",2
"overcrowded",2
"overpriced",2
"overreaction",2
"overthecounter",2
"owns",2
"pakistan",2
"pals",2
"pandemia",2
"pandumbic",2
"panel",2
"panicbuyinguk",2
"parade",2
"paramedic",2
"parks",2
"parramasala",2
"parties",2
"parttime",2
"passarisabortionkills",2
"passengers",2
"passes",2
"pastor",2
"path",2
"patients",2
"patriot",2
"patrons",2
"payload",2
"pays",2
"peaceful",2
"peaches",2
"peak",2
"penalties",2
"pending",2
"pennsylvania",2
"penny",2
"pepsi",2
"performance",2
"periods",2
"petfood",2
"pharmaceuticals",2
"phones",2
"photo",2
"pickups",2
"pieces",2
"pills",2
"pizzas",2
"piñas",2
"placing",2
"planet",2
"plano",2
"plant",2
"plate",2
"played",2
"playlist",2
"plummeted",2
"plunged",2
"plunges",2
"po",2
"pocket",2
"poisoning",2
"politicians",2
"pollution",2
"pooping",2
"popcorn",2
"popping",2
"popular",2
"populated",2
"porch",2
"portion",2
"positives",2
"possibility",2
"possibly",2
"potions",2
"ppe",2
"practically",2
"practise",2
"precarious",2
"predicting",2
"pregnant",2
"premier",2
"prescriptions",2
"preventive",2
"previous",2
"pricing",2
"printer",2
"prints",2
"prior",2
"prioritise",2
"prioritize",2
"privacy",2
"procedures",2
"proceed",2
"process",2
"produced",2
"profiteering",2
"prohibiting",2
"promises",2
"promo",2
"promote",2
"prompted",2
"prompting",2
"prop",2
"prosecuted",2
"protests",2
"providers",2
"proving",2
"provisions",2
"psych",2
"ptsd",2
"pub",2
"publix",2
"pulling",2
"pumped",2
"punch",2
"purified",2
"purpose",2
"purse",2
"qqq",2
"quantities",2
"quarter",2
"quash",2
"quote",2
"quoted",2
"radio",2
"raiding",2
"raids",2
"rail",2
"rains",2
"raises",2
"ralphs",2
"ramadan",2
"ramp",2
"rampant",2
"ranch",2
"rant",2
"raptors",2
"rare",2
"ration",2
"rations",2
"reasoning",2
"reasons",2
"reassurance",2
"reassure",2
"reassuring",2
"rebound",2
"receipt",2
"recipe",2
"recipients",2
"recognized",2
"recording",2
"recoup",2
"recovery",2
"recreation",2
